from_stop_id,to_stop_id,via_stop_id,peak,amount
lirr1,lirr4,lirr102,True,2975
lirr1,lirr4,lirr132,True,1875
lirr1,lirr4,lirr102,False,2175
lirr1,lirr4,lirr132,False,1875
lirr1,lirr8,lirr102,True,1575
lirr1,lirr8,lirr102,False,1150
lirr1,lirr2,lirr214,True,1575
lirr1,lirr2,lirr214,False,1150
lirr1,lirr27,lirr102,True,1575
lirr1,lirr27,lirr132,True,650
lirr1,lirr27,lirr102,False,1150
lirr1,lirr27,lirr132,False,650
lirr1,lirr225,lirr102,True,1225
lirr1,lirr225,lirr102,False,900
lirr1,lirr26,lirr102,True,1825
lirr1,lirr26,lirr132,True,900
lirr1,lirr26,lirr102,False,1325
lirr1,lirr26,lirr132,False,900
lirr1,lirr25,lirr214,True,1575
lirr1,lirr25,lirr214,False,1150
lirr1,lirr23,lirr102,True,1100
lirr1,lirr23,lirr102,False,800
lirr1,lirr16,lirr102,True,1225
lirr1,lirr16,lirr102,False,900
lirr1,lirr21,lirr102,True,2275
lirr1,lirr21,lirr132,True,1225
lirr1,lirr21,lirr102,False,1650
lirr1,lirr21,lirr132,False,1225
lirr1,lirr20,lirr132,True,450
lirr1,lirr20,lirr132,False,450
lirr1,lirr29,lirr132,True,900
lirr1,lirr29,lirr132,False,900
lirr1,lirr13,lirr102,True,2975
lirr1,lirr13,lirr132,True,1875
lirr1,lirr13,lirr102,False,2175
lirr1,lirr13,lirr132,False,1875
lirr1,lirr11,lirr214,True,1575
lirr1,lirr11,lirr214,False,1150
lirr1,lirr39,lirr132,True,450
lirr1,lirr39,lirr132,False,450
lirr1,lirr32,lirr102,True,1100
lirr1,lirr32,lirr102,False,800
lirr1,lirr33,lirr132,True,900
lirr1,lirr33,lirr132,False,900
lirr1,lirr31,lirr102,True,1225
lirr1,lirr31,lirr102,False,900
lirr1,lirr40,lirr132,True,650
lirr1,lirr40,lirr132,False,650
lirr1,lirr38,lirr102,True,1575
lirr1,lirr38,lirr102,False,1150
lirr1,lirr36,lirr102,True,1100
lirr1,lirr36,lirr63,True,425
